===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2020-03-09 20:03:47
count workspace : /home/sulaiman/Desktop/playnows/playnows-server
total files : 176
total code lines : 7947
total comment lines : 812
total blank lines : 868

.editorconfig, code is 10, comment is 0, blank is 2.
src/helpers/middleware/requestId.js, code is 5, comment is 0, blank is 1.
src/helpers/middleware/requestLogger.js, code is 27, comment is 0, blank is 2.
src/helpers/resetDb.js, code is 14, comment is 0, blank is 4.
src/index.js, code is 52, comment is 6, blank is 12.
src/utils/isJson.js, code is 10, comment is 0, blank is 0.
src/websockets/closeHandler.js, code is 10, comment is 1, blank is 2.
src/websockets/events/loginEvent.js, code is 47, comment is 1, blank is 9.
src/websockets/events/logoutEvent.js, code is 29, comment is 7, blank is 6.
src/websockets/messageHandler.js, code is 11, comment is 1, blank is 3.
src/websockets/sender.js, code is 119, comment is 3, blank is 13.
src/websockets/upgradeHandler.js, code is 21, comment is 0, blank is 3.
tools/createDb.js, code is 36, comment is 0, blank is 4.
tools/dropDb.js, code is 11, comment is 0, blank is 1.
tools/flushRedis.js, code is 6, comment is 0, blank is 2.
tools/migrate.js, code is 42, comment is 1, blank is 4.
tools/migrationsDirectory.js, code is 3, comment is 0, blank is 2.
tools/reset.js, code is 20, comment is 2, blank is 5.
===============================================================================
